work_year,experience_level,employment_type,job_title,salary,salary_currency,salary_in_usd,company_size,employee_residence,remote_ratio,company_location
2021e,MI,FT,Data Engineer,140000,USD,140000,L,US,100,US
2021e,SE,FT,Data Analytics Engineer,67000,EUR,79866,L,DE,100,DE
2021e,SE,FT,Lead Data Analyst,170000,USD,170000,L,US,100,US
2021e,EN,FT,Data Analyst,80000,USD,80000,M,US,100,US
2020,MI,FT,Data Scientist,45760,USD,45760,S,PH,100,US
2021e,MI,FT,BI Data Analyst,100000,USD,100000,M,US,100,US
2021e,SE,FT,Data Scientist,45000,EUR,53641,L,FR,50,FR
2021e,EX,FT,Head of Data,235000,USD,235000,L,US,100,US
2021e,EX,FT,BI Data Analyst,150000,USD,150000,L,IN,100,US
2020,EX,FT,Data Engineering Manager,70000,EUR,79833,L,ES,50,ES
2021e,EN,FT,Machine Learning Scientist,225000,USD,225000,L,US,100,US
2021e,EN,FT,Data Science Consultant,65000,EUR,77481,S,DE,100,DE
2020,MI,FT,Machine Learning Infrastructure Engineer,44000,EUR,50180,M,PT,0,PT
2021e,SE,FT,Marketing Data Analyst,75000,EUR,89402,L,GR,100,DK
2021e,SE,FT,Lead Data Engineer,75000,GBP,103750,S,GB,100,GB
2021e,SE,FT,Director of Data Engineering,82500,GBP,114125,M,GB,100,GB
2021e,SE,FT,Machine Learning Engineer,80000,EUR,95362,L,DE,50,DE
2021e,EN,FT,Data Engineer,2250000,INR,30509,L,IN,100,IN
2021e,SE,FT,Data Engineer,150000,USD,150000,M,US,100,US
2021e,SE,FT,Data Engineer,115000,USD,115000,S,US,100,US
2021e,MI,FT,Research Scientist,235000,CAD,187917,L,CA,100,CA
2021e,MI,FT,Data Analyst,37456,GBP,51814,L,GB,50,GB
2020,MI,FT,Data Engineer,106000,USD,106000,L,US,100,US
2020,MI,FT,Data Engineer,88000,GBP,112872,L,GB,50,GB
2021e,MI,FT,BI Data Analyst,11000000,HUF,36732,L,HU,50,US
2021e,SE,FT,Data Engineer,150000,USD,150000,L,US,100,US
2020,EN,PT,ML Engineer,14000,EUR,15966,S,DE,100,DE
2021e,MI,FT,Computer Vision Software Engineer,81000,EUR,96554,S,DE,100,US
2021e,EN,FT,Computer Vision Software Engineer,70000,USD,70000,M,US,100,US
2021e,MI,FT,Financial Data Analyst,450000,USD,450000,L,US,100,US
2020,MI,FT,Data Scientist,60000,GBP,76958,S,GB,100,GB
